Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Falcon, Sergio; Plaza, Ángel; ",The k-Fibonacci sequence and the Pascal 2-triangle,"Chaos, Solitons & Fractals",33,1,38-49,2007,Elsevier
"Horadam, AF; ",A generalized Fibonacci sequence,The American Mathematical Monthly,68,5,455-459,1961,Taylor & Francis
"Waddill, Marcellus E; Sacks, Louis; ",Another generalized Fibonacci sequence,The Fibonacci Quarterly,5,3,209-222,1967,Citeseer
"Catarino, Paula; ",On some identities for k-Fibonacci sequence,Int. J. Contemp. Math. Sci,9,1,37-42,2014,
"Park, Andrew E; Fernandez, John J; Schmedders, Karl; Cohen, Mark S; ",The Fibonacci sequence: relationship to the human hand,The journal of hand surgery,28,1,157-160,2003,Elsevier
"Edson, Marcia; Yayenie, Omer; ",A New Generalization of Fibonacci Sequence & Extended Binet's Formula,,,,,2009,Walter de Gruyter GmbH & Co. KG
"Scott, Tony C; Marketos, Pan; ",On the origin of the Fibonacci Sequence,MacTutor History of Mathematics,23,,,2014,
"Yayenie, Omer; ",A note on generalized Fibonacci sequences,Applied Mathematics and Computation,217,12,5603-5611,2011,Elsevier
"Atanassov, K; Atanassova, L; Sasselov, D; ",A new perspective to the generalization of the Fibonacci sequence,The Fibonacci Quarterly,23,1,21-28,1985,
"Viswanath, Divakar; ",Random Fibonacci sequences and the number 1.13198824…,Mathematics of Computation,69,231,1131-1155,2000,
"Bravo, Jhon J; Luca, Florian; ",Powers of two in generalized Fibonacci sequences,Revista Colombiana de Matemáticas,46,1,67-79,2012,Universidad Nacional de Colombia y Sociedad Colombiana de Matemáticas
"Falcon, Sergio; Plaza, Ángel; ",On k-Fibonacci sequences and polynomials and their derivatives,"Chaos, Solitons & Fractals",39,3,1005-1019,2009,Elsevier
"Jun, Wang; ",k-step Fibonacci sequence modulo m,Utilitas Mathematica,71,,,2006,
"Wilcox, Howard J; ",Fibonacci sequences of period n in groups,Fibonacci Quart,24,4,356-361,1986,
"Gupta, VK; Panwar, Yashwant K; Sikhwal, Omprakash; ",Generalized Fibonacci Sequences,Theoretical Mathematics and Applications,2,2,115-124,2012,
